"Item";"CCODCON";"CDESCON";"LGRPCON";"LTERCON";"LOTRMON";"CNATCON";"LLIGCRE";"LLIGTES";"LCENCUS";"LIVA";"LCTRIMP";"CSTRCON";"CCODIVA";"NTIPCRE";"CNATSAL";"COPER";"CTIME";"DDATE"
73;"22214";"FORNECEDORES - EMPRESAS ASSOCIADAS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
74;"22215";"FORNECEDORES - EMPREENDIMENTOS CONJUNTOS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
75;"22216";"FORNECEDORES - OUTRAS PARTES RELACIONADAS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
76;"2222";"FORNECEDORES TITULOS A PAGAR EM MOEDA ESTRANGEIRA";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
77;"22221";"FORNECEDORES GERAIS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
78;"22222";"FORNECEDORES - EMPRESA-MAE";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
79;"22223";"FORNECEDORES - EMPRESAS SUBSIDIARIAS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
80;"22224";"FORNECEDORES - EMPRESAS ASSOCIADAS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
81;"22225";"FORNECEDORES - EMPREENDIMENTOS CONJUNTOS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
82;"22226";"FORNECEDORES - OUTRAS PARTES RELACIONADAS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
83;"225";"FORNECEDORES - FACTURAS EM RECEPCAO E CONFERENCIA";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
84;"2251";"FORNECEDORES - FACTURAS EM RECEPCAO E CONFERENCIA";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
85;"2252";"FORNECEDORES - FACTURAS EM RECEPCAO E CONFERENCIA";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
86;"226";"FORNECEDORES POR ACRESCIMOS DE GASTOS";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
87;"2261";"FORNECEDORES - POR ACRESCIMOS DE GASTOS EM MOEDA N";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
88;"2262";"FORNECEDORES - POR ACRESCIMOS DE GASTOS EM MOEDA E";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
89;"228";"ADIANTAMENTOS A FORNECEDORES";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
90;"2281";"ADIANTAMENTOS A FORNECEDORES EM MOEDA NACIONAL";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
91;"2282";"ADIANTAMENTOS A FORNECEDORES EM MOEDA ESTRANGEIRA";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
92;"229";"PERDAS POR IMPARIDADE ACUMULADAS";"False";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
93;"23";"FINANCIAMENTOS OBTIDOS";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
94;"231";"INSTITUIÇOES DE CREDITO E SOCIEDADES FINANCEIRAS";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
95;"2311";"EMPRESTIMOS BANCARIOS";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
96;"2312";"DESCOBERTOS BANCARIOS";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
97;"2313";"LOCACAO FINANCEIRA";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
98;"232";"MERCADO DE VALORES MOBILIARIOS";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
99;"2321";"EMPRESTIMOS POR OBRIGACOES";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
100;"233";"PARTICIPANTES DE CAPITAIS";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
101;"2331";"EMPRESA-MAE-SUPRIMENTOS E OUTROS MUTUOS";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
102;"2332";"OUTROS PARTICIPANTES - SUPRIMENTOS E OUTROS MUTUOS";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
103;"234";"SUBSIDIARIAS, ASSOCIADAS E EMPREENDIMENTOS CONJUNT";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
104;"238";"OUTROS FINANCIADORES";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
105;"24";"ESTADOS E OUTROS ENTES PUBLICOS";"True";"False";"False";"3";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
106;"241";"IMPOSTO SOBRE O RENDIMENTO ANO N";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
107;"2411";"PAGAMENTOS POR CONTA";"False";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
108;"2412";"RETENCAO NA FONTE (TERCEIROS)";"False";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
